dataId,trsmDy,trmnId,trsmUtcTime,trsmYear,trsmMt,trsmTm,trsmMs,vhcleLot,vhcleLat,vhcleEvt,trmnTypeCd,gpsUtcTime,vhcleDrc,vhcleSped,trnsmStatCd,lcdtRevisnStatCd,vhcleTypeCd,rgtrId,regDt,addr
PVDL-IDV1257530090-1722544309-31625,2,IDV1257530090,1722575945049.0,2024,08,141905,049,127.043902,37.671054,34.0,001,1722575945003.0,7.2125,2.0,2,0,9228,v2x,2024-08-02 05:19:05,도봉구
PVDL-IDV1257526170-1722570012-5922,2,IDV1257526170,1722575945036.0,2024,08,141905,036,126.946063,37.556766,53.0,001,1722575945003.0,264.2,0.0,7,0,9228,v2x,2024-08-02 05:19:05,마포구
PVDL-IDV1257521070-1722536883-39058,2,IDV1257521070,1722575945044.0,2024,08,141905,044,127.07582,37.593898,26.0,001,1722575945006.0,255.01250000000002,22.0,2,0,9228,v2x,2024-08-02 05:19:05,중랑구
PVDL-IDV1257517320-1722547709-28232,2,IDV1257517320,1722575945072.0,2024,08,141905,072,126.946566,37.540055,35.0,001,1722575945003.0,225.8,2.0,2,0,9228,v2x,2024-08-02 05:19:05,마포구
PVDL-IDV1257514830-1722573893-2049,2,IDV1257514830,1722575945069.0,2024,08,141905,069,127.023417,37.506781,43.0,001,1722575945004.0,342.7375,34.0,2,0,9228,v2x,2024-08-02 05:19:05,강남구
PVDL-IDV1257514690-1722571027-4907,2,IDV1257514690,1722575945058.0,2024,08,141905,058,126.959838,37.572635,53.0,001,1722575945002.0,142.0,0.0,2,0,9228,v2x,2024-08-02 05:19:05,종로구
PVDL-IDV1257513650-1722574024-1911,2,IDV1257513650,1722575945064.0,2024,08,141905,064,126.910948,37.571189,20.0,001,1722575945003.0,121.41250000000001,33.0,2,0,9228,v2x,2024-08-02 05:19:05,서대문구
PVDL-IDV1257511120-1722563018-12917,2,IDV1257511120,1722575945069.0,2024,08,141905,069,126.882126,37.583457,19.0,001,1722575945002.0,227.97500000000002,0.0,7,0,9228,v2x,2024-08-02 05:19:05,마포구
PVDL-IDV1257497480-1722564874-11060,2,IDV1257497480,1722575945015.0,2024,08,141905,015,127.001657,37.58376,34.0,001,1722575945007.0,358.83750000000003,0.0,7,0,9228,v2x,2024-08-02 05:19:05,종로구
PVDL-IDV1257495670-1722562142-13793,2,IDV1257495670,1722575945099.0,2024,08,141905,080,126.836189,37.523334,26.0,001,1722575945002.0,157.47500000000002,20.0,7,0,9228,v2x,2024-08-02 05:19:05,양천구
